ecosystem,country,recent_area_lost,criterion_A1,future_area_lost,criterion_A2b,historical_area_lost,criterion_A3
Mangrove,Honduras,0.477,VU,0.954,CR,0.784,EN
Mangrove,Peru,0,DD,0.882,NT,0,DD
Mangrove,Panama,0.452,VU,0.426,VU,0.705,EN
Mangrove,Guatemala,0.707,DD,0.493,NT,0.914,CR
Mangrove,Mexico,0.597,EN,0.328,NT,0.883,EN
Mangrove,Nicaragua,0.646,DD,0.876,NT,0.879,DD
Mangrove,El Salvador,0.546,EN,0.616,NT,0.813,EN
Mangrove,Colombia,0.353,VU,0,LC,0.645,VU
Mangrove,Costa Rica,0.601,DD,0.529,EN,0.842,EN
Mangrove,Ecuador,0.443,VU,0.793,EN,0.533,NT
Mangrove,Costa Rica,0.644,DD,0,LC,0.875,DD
Mangrove,Dominican Republic,0.437,VU,0,LC,0.725,EN
Mangrove,Colombia,0.612,EN,0.166,LC,0.898,EN
Mangrove,Cayman Islands,0,DD,0.45,NT,0,DD
Mangrove,Jamaica,0.594,EN,0.406,NT,0.948,CR
Mangrove,Dominica,0.644,DD,0,LC,0.875,DD
Mangrove,Nicaragua,0.536,EN,0,LC,0.784,EN
Mangrove,Panama,0.326,NT,0.058,LC,0.542,NT
Mangrove,Cuba,0.4,VU,0,LC,0.644,VU
Mangrove,Curaçao,0.207,LC,0,LC,0.534,NT
Mangrove,Saint Kitts and Nevis,1,CR,0,LC,1,CR
Mangrove,Saint Lucia,0,LC,0.967,NT,0.094,LC
Mangrove,Puerto Rico,0.671,DD,0,LC,0.968,CR
Mangrove,Saint Barthélemy,0,DD,0,DD,0,DD
Mangrove,Haiti,0.169,LC,0,LC,0.8,EN
Mangrove,Honduras,0.087,LC,0.557,EN,0.171,LC
Mangrove,Suriname,0.014,LC,0,LC,0.064,LC
Mangrove,Martinique,0,LC,0.368,NT,0.509,NT
Mangrove,Mexico,0.368,VU,0,LC,0.612,VU
Mangrove,Montserrat,1,CR,0,DD,1,CR
Mangrove,United States,0.356,VU,0.905,NT,0.592,VU
Mangrove,Venezuela,0.057,LC,0,LC,0.115,LC
Mangrove,French Guiana,0.057,LC,0,LC,0.143,LC
Mangrove,Grenada,0,LC,0.99,CR,0.476,LC
