ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Mangrove,Panama,NA,NA,NA,NA,0.257,1,0.366,1,0.271,1
Mangrove,Ecuador,NA,NA,0.168,1,0.301,1,0.384,1,0.442,1
Mangrove,El Salvador,NA,NA,0.331,1,0,1,0.616,1,0.048,1
Mangrove,Colombia,NA,NA,0.37,1,0.21,1,0.029,1,0.276,1
Mangrove,Costa Rica,NA,NA,0.296,1,0.458,1,0.578,1,0.542,1
Mangrove,Mexico,NA,NA,0.213,1,0.237,1,0.527,1,0.262,1
Mangrove,Nicaragua,NA,NA,0.24,1,0.15,1,0.304,1,0.15,1
Mangrove,Guatemala,NA,NA,0.443,1,NA,NA,0.586,1,NA,NA
Mangrove,Honduras,NA,NA,0.229,1,0.163,1,0.243,1,0.5,1
Mangrove,Peru,NA,NA,0.318,1,NA,NA,0.651,1,NA,NA
Mangrove,Cuba,0.238,1,0.195,1,0.158,1,NA,NA,0.244,1
Mangrove,Saint Kitts and Nevis,0.022,1,0.089,1,NA,NA,NA,NA,NA,NA
Mangrove,Guyana,0.191,1,0.282,1,0.146,1,0.589,1,0.429,1
Mangrove,Costa Rica,0.348,1,NA,NA,NA,NA,0,1,NA,NA
Mangrove,Honduras,0.191,1,0.416,1,0.255,1,0.378,1,0.558,1
Mangrove,Jamaica,0.026,1,0.274,1,0,1,NA,NA,0.209,1
Mangrove,Curaçao,NA,NA,0.331,1,0.17,1,NA,NA,0.126,1
Mangrove,Dominica,0.005,1,0.063,1,NA,NA,NA,NA,NA,NA
Mangrove,Dominican Republic,0.112,1,0.211,1,0.223,1,NA,NA,0.342,1
Mangrove,Ecuador,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA
Mangrove,El Salvador,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Mangrove,French Guiana,0.415,1,0.1,1,0.308,1,0.496,1,0.498,1
