ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Mangrove,Peru,DD,NT,DD,LC,NT,LC,DD,NT,DD,VU,DD
Mangrove,Ecuador,VU,EN,NT,LC,LC,LC,DD,LC,VU,NT,LC
Mangrove,Colombia,VU,LC,VU,LC,LC,LC,DD,VU,LC,LC,LC
Mangrove,Panama,VU,VU,EN,LC,LC,LC,DD,DD,VU,NT,LC
Mangrove,Nicaragua,DD,NT,DD,LC,LC,LC,DD,LC,LC,NT,LC
Mangrove,Mexico,EN,NT,EN,LC,LC,LC,DD,LC,VU,VU,LC
Mangrove,Honduras,VU,CR,EN,EN,EN,LC,DD,LC,LC,LC,EN
Mangrove,Guatemala,DD,NT,CR,LC,LC,LC,DD,VU,DD,VU,DD
Mangrove,El Salvador,EN,NT,EN,LC,LC,LC,DD,NT,LC,VU,LC
Mangrove,Costa Rica,DD,EN,EN,VU,VU,LC,DD,LC,EN,VU,EN
Mangrove,Curaçao,LC,LC,NT,LC,LC,LC,LC,NT,LC,DD,LC
Mangrove,Aruba,DD,DD,DD,DD,DD,DD,LC,VU,DD,NE,DD
Mangrove,Suriname,LC,LC,LC,LC,LC,LC,LC,EN,LC,LC,LC
Mangrove,Guyana,LC,NT,LC,LC,LC,LC,LC,LC,LC,EN,VU
Mangrove,French Guiana,LC,LC,LC,LC,NT,LC,VU,LC,VU,VU,VU
Mangrove,Brazil,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,VU
Mangrove,Venezuela,LC,LC,LC,LC,LC,LC,LC,VU,VU,LC,LC
Mangrove,Colombia,EN,LC,EN,LC,LC,LC,NT,VU,VU,VU,LC
Mangrove,Panama,NT,LC,NT,LC,LC,LC,LC,DD,LC,LC,LC
Mangrove,Nicaragua,EN,LC,EN,LC,LC,LC,LC,VU,VU,LC,VU
Mangrove,Mexico,VU,LC,VU,LC,LC,LC,LC,NT,LC,NT,LC
Mangrove,Honduras,LC,EN,LC,VU,VU,LC,LC,NT,VU,VU,VU
Mangrove,Guatemala,LC,CR,LC,EN,EN,LC,LC,LC,VU,LC,LC
Mangrove,Costa Rica,DD,LC,DD,LC,NT,VU,VU,DD,DD,LC,DD
Mangrove,Belize,LC,LC,LC,EN,VU,LC,LC,NT,LC,VU,LC
Mangrove,Virgin Islands,LC,DD,LC,LC,NT,VU,LC,LC,DD,NE,LC
Mangrove,United States,VU,NT,VU,LC,LC,LC,VU,VU,LC,NE,LC
Mangrove,Turks and Caicas Islands,LC,NT,LC,LC,LC,LC,LC,LC,EN,NE,VU
Mangrove,Trinidad and Tobago,LC,CR,VU,EN,EN,LC,LC,VU,LC,DD,CR
Mangrove,Sint Maarten,DD,DD,DD,DD,DD,DD,DD,LC,DD,NE,DD
Mangrove,Saint Vincent and the Grenadines,LC,NT,EN,LC,NT,VU,LC,NT,DD,NE,LC
Mangrove,Saint Martin,DD,DD,DD,DD,DD,DD,LC,LC,DD,NE,DD
