ecosystem,realm,region,criterion_A1,criterion_A2,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C1,criterion_C2,criterion_C3,criterion_D1,criterion_D2,criterion_D3,criterion_E
1,A,1,LC,LC,LC,LC,LC,LC,VU,VU,LC,LC,LC,LC,NE
2,A,1,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,NE
3,B,1,LC,LC,LC,LC,LC,LC,EN,EN,LC,LC,EN,VU,NE
4,B,2,LC,LC,VU,LC,LC,LC,VU,LC,VU,LC,NE,EN,NE
5,B,2,LC,LC,LC,LC,LC,LC,EN,EN,LC,LC,NE,LC,NE
6,A,2,LC,LC,LC,LC,LC,LC,EN,EN,LC,LC,NE,LC,NE
7,A,2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NE,LC,NE
8,B,3,LC,EN,LC,LC,LC,LC,EN,LC,EN,LC,NE,LC,NE
9,B,3,LC,LC,LC,LC,LC,LC,EN,LC,LC,EN,NE,VU,NE
10,B,3,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NE,VU
11,A,3,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,NE
12,A,3,LC,LC,LC,LC,LC,LC,VU,VU,LC,LC,LC,EN,NE
13,A,3,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NE
